station_id,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30
483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
484,1.0,-2.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,-4.0
485,0.0,2.0,3.0,0.0,-1.0,3.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,-2.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,-3.0,-2.0,0.0,-1.0
486,1.0,-3.0,1.0,-1.0,2.0,-1.0,0.0,0.0,0.0,0.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,-1.0,2.0,2.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0
487,0.0,0.0,1.0,0.0,-2.0,-1.0,1.0,-2.0,0.0,-4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,-1.0,0.0,1.0
488,1.0,0.0,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0
489,-1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,4.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-4.0,0.0,1.0,0.0,3.0
490,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,2.0,1.0,0.0,-2.0,0.0,-3.0,1.0,0.0,0.0,-1.0,-2.0,1.0,0.0,1.0,1.0,0.0,2.0,-3.0,0.0,0.0
491,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,-1.0,0.0,0.0,1.0,-1.0,1.0,3.0,0.0,-1.0,0.0,2.0
492,2.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,3.0,1.0,-1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0
